N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error,theory_hit_rate_actual,error_actual,abs_error_actual
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241703,251.92,1193600,830,0.5706175855129897,0.4998,49980,50020,-0.0708175855129896,0.0708175855129896,0.5437713078966148,-0.04397130789661474,0.04397130789661474
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241801,251.92,1193600,830,0.7647907806039529,0.65204,65204,34796,-0.1127507806039529,0.1127507806039529,0.745763941405524,-0.09372394140552409,0.09372394140552409
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241802,251.92,1193600,829,0.7647907806039529,0.65099,65099,34901,-0.1138007806039529,0.1138007806039529,0.7456408449841242,-0.09465084498412424,0.09465084498412424
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241803,251.92,1193600,829,0.7647907806039529,0.64953,64953,35047,-0.1152607806039528,0.1152607806039528,0.7456408449841242,-0.09611084498412414,0.09611084498412414
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241901,251.92,1193600,830,0.7647907806039529,0.71448,71448,28552,-0.0503107806039528,0.0503107806039528,0.745763941405524,-0.03128394140552404,0.03128394140552404
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241902,251.92,1193600,828,0.7647907806039529,0.7193,71930,28070,-0.0454907806039528,0.0454907806039528,0.7455176000748819,-0.02621760007488183,0.02621760007488183
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241903,251.92,1193600,830,0.7647907806039529,0.71599,71599,28401,-0.0488007806039528,0.0488007806039528,0.745763941405524,-0.02977394140552403,0.02977394140552403
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242001,251.92,1193600,830,0.9034454900897962,0.85126,85126,14874,-0.0521854900897962,0.0521854900897962,0.8935155007369713,-0.04225550073697126,0.04225550073697126
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242002,251.92,1193600,830,0.9034454900897962,0.84958,84958,15042,-0.0538654900897962,0.0538654900897962,0.8935155007369713,-0.04393550073697128,0.04393550073697128
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242003,251.92,1193600,827,0.9034454900897962,0.85274,85274,14726,-0.0507054900897961,0.0507054900897961,0.8933188513423616,-0.0405788513423615,0.0405788513423615
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242101,251.92,1193600,828,0.9034454900897962,0.87595,87595,12405,-0.0274954900897962,0.0274954900897962,0.8933844960676849,-0.01743449606768488,0.01743449606768488
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242102,251.92,1193600,830,0.9034454900897962,0.87734,87734,12266,-0.0261054900897962,0.0261054900897962,0.8935155007369713,-0.01617550073697127,0.01617550073697127
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242103,251.92,1193600,830,0.9034454900897962,0.87806,87806,12194,-0.0253854900897962,0.0253854900897962,0.8935155007369713,-0.015455500736971328,0.015455500736971328
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242201,251.92,1067640,284,0.6940229720091813,0.51821,51821,48179,-0.1758129720091813,0.1758129720091813,0.6363097789504845,-0.11809977895048451,0.11809977895048451
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242202,251.92,1067640,284,0.6940229720091813,0.52121,52121,47879,-0.1728129720091813,0.1728129720091813,0.6363097789504845,-0.11509977895048451,0.11509977895048451
